,extreme0,extreme1,extreme2,extreme3,extreme4,extreme5,extreme6,extreme7,extreme8,extreme9,extreme10,extreme11,extreme12,extreme13,extreme14,extreme15,extreme16,extreme17,extreme18,extreme19,25th percentile,50th percentile,75th percentile
0,1854.26544475875,878.345275027883,1884.36744864352,1327.41009296109,905.090850376567,1764.21302786343,1617.02589399412,1960.68920151907,1153.28636259237,1630.18915923424,2418.57107104777,1596.43316175596,1007.06851097963,2223.97062884639,1394.48161510518,2103.65424601401,1764.20229651207,2194.44216710634,2066.73827461345,1333.71893490414,1332.1417244183776,1630.18915923424,1941.6087633001825
1,1955.33027483906,868.857098203327,1855.90928474048,1312.93753821312,876.996714081375,1982.77611351725,1611.64793264577,1903.61566016066,1122.91640054239,1733.5838948745,2222.39126080906,1570.50525772771,753.209707029299,2211.9083956087,1364.70406385408,2027.48531502981,1711.18367062639,2008.27627697011,1987.67127425501,1298.35152768014,1309.291035579875,1711.18367062639,1975.9146538477025
2,1175.5010094551,684.945956091839,1169.15640753598,1157.01499399859,540.493651581844,1210.94820063052,991.115752056329,1203.36689394102,932.727743434082,1033.20078306955,1267.16152398155,1141.94119948212,482.973521177303,1329.2876016622,948.624774712099,1318.34061391414,1170.44091452488,1095.17888800877,1151.4061694832,949.103513600993,948.9838288787694,1141.94119948212,1174.2359857225451
3,454.239726473232,507.334661364537,492.47328880689,825.271237128657,509.869063287196,444.624253738518,378.941042611788,511.064301262437,651.75557620102,388.477831343587,328.606895086962,734.784298661828,216.645696100532,472.777073929825,534.944047362085,626.525754738291,639.597815664892,220.877631167245,318.654084614471,600.729753593089,386.0936341606373,492.47328880689,584.2833270353381
4,305.261879232579,367.881282760209,370.307766172857,669.348692914122,201.70922331495,316.912955306593,290.703887691549,387.267121013209,483.178444062742,277.470288662506,241.358838054335,537.925257841651,159.708748159726,343.436561651647,369.747510281511,354.010550684852,346.604164901319,209.403237070246,256.225606605806,443.356014442049,272.159118148331,343.436561651647,370.16770220002047
5,231.668729795559,235.756291288625,266.99848331777,342.49221980453,172.232907552011,195.049714540847,210.791752177753,272.706742219332,229.231120076791,206.536882286509,154.499149551194,364.995212767979,103.085275867502,214.226593402903,211.941785323548,95.6632878799386,95.174642058547,163.162842312801,219.313651373287,301.739453208111,169.96539124220848,211.941785323548,234.7344009153585
6,165.46423085391,163.198775973436,207.797475553935,276.124892156206,150.164386756777,153.450936853152,158.371911979579,202.920393923449,184.162626041576,151.780280249572,122.329299636225,258.519093044526,81.3144997739947,164.757862882456,186.61274463671,68.7974792330516,54.7400348979679,151.585532053178,173.764482041024,203.326006276319,151.23024572907775,163.198775973436,186.0002149879265
7,132.769334562204,93.9703983547524,150.034061054214,210.26007382274,128.530290094555,131.692996978426,127.145625485546,139.098437851557,137.278593697249,122.507162902236,90.7728912904343,154.158910288958,59.5841268570008,117.661189354147,143.963608638472,52.5665433301327,46.5876210677272,117.093435539767,144.97516981596,114.03865736618,109.0215926133231,127.145625485546,138.64347681298
8,101.413665240957,79.2804011186692,115.572499198257,160.285349269554,107.586788046504,109.788045125263,92.965833167029,121.431226483303,94.3605280825026,107.059562881408,73.4330522945621,114.803666291852,54.7013221687036,94.738741854633,124.486962572624,47.4042451593094,39.808769487512,102.244380326627,122.960507203758,89.2465795709475,86.75503495787792,101.413665240957,113.54976100020475
9,68.968112322362,66.4463480953674,89.1502011756141,111.317087272667,97.4173405437197,93.8241255355887,61.7395466729957,106.197416589997,86.9851899395915,86.3625449291902,57.7835284518685,75.8689661727179,43.8807272783121,73.1407108848149,81.8378265743865,42.286221771926,37.2429076938411,90.6670700670036,101.065915749692,84.6468150632311,65.26964773977447,81.8378265743865,90.28785284415623
10,61.1633565487395,58.3124525013165,71.0017047279784,92.6836275069201,79.1644579445766,83.3816915827003,51.2341584511151,88.5302052217427,80.1317445631684,70.9149449083618,49.524964572592,67.9584130388449,38.9979225900149,64.1516980234692,74.8848520277583,38.5029768205624,32.3165401142813,80.5929002552991,93.9181805442424,59.8547372679983,56.54287898876615,67.9584130388449,79.88992290852045
11,55.0706509230369,50.3779771823971,52.9706511012696,74.0503154035371,70.5390113909313,72.9751484220988,43.0684984427289,76.3630422759664,73.7787983753168,60.0301290905945,41.435406560711,61.445432616907,28.4729035087408,56.0772837562218,66.6523475578273,35.4288082336052,29.1614550703104,69.0155899956762,79.4751452139159,56.4786586437859,48.55060749748005,56.4786586437859,70.15815604211751
12,50.8822582126113,46.6591300916254,46.3225612395757,66.5091640677851,66.0057188028592,62.5327144692104,37.3672511550246,64.1837701740684,68.3608357865478,50.9055642051952,37.0587635479133,56.6536692357688,25.2057252719574,51.564600922381,59.6993291944811,34.3016666095168,25.0165125627647,66.4171427818366,73.8042832398645,52.138394553908,44.08373371843793,51.564600922381,63.7710062478539
13,47.2082781000573,43.0025044719067,40.1347459183844,58.9690405391142,62.4496790138804,56.3174080323496,32.9821324594407,61.1198184963538,66.3929480662534,45.2181005979877,33.0505748650232,53.2899553915418,22.0935006607128,46.4649155501111,52.1394756578923,33.3397504694536,21.8614275187938,63.4735709356048,59.3618250492774,48.2994252719716,38.4359970561517,47.2082781000573,58.30613241242305
